partyid,educ,sex,race,gunlaw
"independent, close to democrat",16.0,white,favor
strong democrat,16.0,white,favor
not very strong democrat,20.0,white,oppose
strong republican,10.0,white,favor
"independent, close to republican",18.0,white,favor
not very strong republican,12.0,white,oppose
strong republican,12.0,white,oppose
strong republican,12.0,white,oppose
other party,12.0,white,oppose
"independent, close to democrat",14.0,white,oppose
strong democrat,12.0,white,favor
"independent (neither, no response)",12.0,white,not disclosed
"independent (neither, no response)",11.0,other,favor
"independent (neither, no response)",12.0,white,oppose
strong republican,14.0,white,not disclosed
strong democrat,18.0,white,favor
strong democrat,16.0,white,favor
not very strong democrat,16.0,white,favor
strong democrat,14.0,white,favor
strong democrat,12.0,white,favor
strong republican,11.0,white,favor
strong republican,12.0,white,oppose
"independent (neither, no response)",18.0,white,favor
not very strong republican,20.0,white,oppose
strong democrat,13.0,white,oppose
"independent, close to republican",12.0,white,oppose
"independent, close to democrat",20.0,white,favor
other party,14.0,white,oppose
other party,16.0,white,not disclosed
strong democrat,14.0,white,favor
other party,17.0,white,not disclosed
"independent, close to democrat",12.0,white,favor
"independent, close to democrat",16.0,white,oppose
strong republican,12.0,white,not disclosed
not very strong republican,12.0,white,not disclosed
"independent (neither, no response)",12.0,white,favor
"independent (neither, no response)",11.0,white,not disclosed
not very strong democrat,14.0,white,favor
strong republican,11.0,white,not disclosed
strong republican,15.0,white,not disclosed
strong republican,12.0,white,not disclosed
strong republican,16.0,white,not disclosed
strong republican,16.0,white,favor
strong democrat,17.0,white,favor
not very strong democrat,16.0,white,favor
"independent (neither, no response)",12.0,white,favor
not very strong democrat,14.0,white,favor
strong democrat,17.0,white,favor
"independent, close to democrat",16.0,white,favor
"independent, close to democrat",9.0,white,favor
strong republican,12.0,white,favor
"independent, close to democrat",12.0,white,favor
"independent (neither, no response)",19.0,white,oppose
"independent, close to democrat",15.0,white,not disclosed
"independent, close to democrat",17.0,white,favor
not very strong democrat,20.0,white,not disclosed
